Kaffeemaschine,Toaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruehe,Dosenoeffner,Kartoffelschaeler,Salatschuesselchen,Salatschuesselchen,Salatschuesselchen,Salatschuesselchen,Salatschuesselchen,Schokolade,Servietten,Weinoeffner,Zwiebeln,,,,,,,,,,,,,,,,,,,,,
Sektglas,Sektglas,Sektglas,Sektglas,Sektglas,Wasserglas,Wasserglas,Wasserglas,Wasserglas,Wasserglas,Weinglas,Weinglas,Weinglas,Weinglas,Weinglas,,,,,,,,,,,,,,,,,,
Bierkrug,Bierkrug,Bierkrug,Bierkrug,Bierkrug,Essig,Oel ,Saft,Trinkflasche,Vase,,,,,,,,,,,,,,,,,,,,,,,
Grosse Schuessel,Grosse Schuessel,Grosse Schuessel,Grosse Schuessel,Grosse Schuessel,Kuchenform,Suppenschuessel,Tupperware,,,,,,,,,,,,,,,,,,,,,,,,,
Kleine Schuessel,Kleine Schuessel,Kleine Schuessel,Kleine Schuessel,Kleine Schuessel,Suppentasse mit 2 Henkel,Suppentasse mit 2 Henkel,Suppentasse mit 2 Henkel,Suppentasse mit 2 Henkel,Suppentasse mit 2 Henkel,Teetasse mit Untertasse,Teetasse mit Untertasse,Teetasse mit Untertasse,Teetasse mit Untertasse,Teetasse mit Untertasse,,,,,,,,,,,,,,,,,,
Grosse Teller,Grosse Teller,Grosse Teller,Grosse Teller,Grosse Teller,kleine Pfanne,Schneidebrett,Servierplatte,Topflappen,,,,,,,,,,,,,,,,,,,,,,,,
Grosse Pfanne,Wok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flaschenoeffner,Gabel,Gabel,Gabel,Gabel,Gabel,Geschirrhandtuch,Kleines Kuechenmesser,Loeffel,Loeffel,Loeffel,Loeffel,Loeffel,Messer,Messer,Messer,Messer,Messer,Nudelzange,Pfannenwender,Pfannenwender00,Schere,Schneebesen,Suppenkelle,,,,,,,,,
Schnapsglas,Schnapsglas,Schnapsglas,Schnapsglas,Schnapsglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Becher,Becher,Becher,Becher,Becher,Bechertasse,Bechertasse,Bechertasse,Bechertasse,Bechertasse,,,,,,,,,,,,,,,,,,,,,,,
Grosses Kuechenmesser,Salatbesteck,Tablett,Tischdecke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grosser Topf,Kleiner Topf,Sieb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kleiner Teller,Kleiner Teller,Kleiner Teller,Kleiner Teller,Kleiner Teller,tiefe Teller,tiefe Teller,tiefe Teller,tiefe Teller,tiefe Teller,,,,,,,,,,,,,,,,,,,,,,,
Kaffeekanne,Messbecher,Teekanne,Thermoskanne,Wasserkocher,,,,,,,,,,,,,,,,,,,,,,,,,,,,
