coffe machine,toaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
broth,can opener,potato peeler,salad bowl,salad bowl,salad bowl,salad bowl,salad bowl,chocolate,napkins,corkscrew,onion,,,,,,,,,,,,,,,,,,,,,
champagne glass,champagne glass,champagne glass,champagne glass,champagne glass,waterglass,waterglass,waterglass,waterglass,waterglass,wine glass,wine glass,wine glass,wine glass,wine glass,,,,,,,,,,,,,,,,,,
beer mug,beer mug,beer mug,beer mug,beer mug,vinegar,oil,juice,drinking bottle,vase,,,,,,,,,,,,,,,,,,,,,,,
big bowl,big bowl,big bowl,big bowl,big bowl,cake pan,soup tureen,Tupperware,,,,,,,,,,,,,,,,,,,,,,,,,
small bowl,small bowl,small bowl,small bowl,small bowl,soup bowl with 2 handles,soup bowl with 2 handles,soup bowl with 2 handles,soup bowl with 2 handles,soup bowl with 2 handles,teacup with a trivet,teacup with a trivet,teacup with a trivet,teacup with a trivet,teacup with a trivet,,,,,,,,,,,,,,,,,,
big plate,big plate,big plate,big plate,big plate,small pan,chopping board,platter,pot cloth,,,,,,,,,,,,,,,,,,,,,,,,
big pan,wok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottle opener,fork,fork,fork,fork,fork,tea towel,small kitchen knife,spoon,spoon,spoon,spoon,spoon,knife,knife,knife,knife,knife,pliers for pasta,spatula,spatula00,scissors,egg whip,soup ladle,,,,,,,,,
schnapps glass,schnapps glass,schnapps glass,schnapps glass,schnapps glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tumbler,tumbler,tumbler,tumbler,tumbler,cup,cup,cup,cup,cup,,,,,,,,,,,,,,,,,,,,,,,
big kitchen knife,salad servers,tray,tablecloth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big pot,small pot,sieve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small plate,small plate,small plate,small plate,small plate,soup plate,soup plate,soup plate,soup plate,soup plate,,,,,,,,,,,,,,,,,,,,,,,
coffeepot,measuring jug,teapot,thermos jug,electric kettle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
